model,roc_auc,log_loss,brier,rate_curve_mae_pts,rate_x_risk_cell_mae_pts,cut_bucket_bias_pts
"v1 logistic, single rate slope",0.7396404293179142,0.3879180913048742,0.11991000392094694,2.08521840017869,2.216418389528347,2.262299458304373
"v2 logistic, hinge rate response",0.742988736751363,0.38544582534758953,0.11945820529969203,0.2674398930470136,1.037334980835401,-0.24804859472784546
GBM challenger (monotone in rate),0.7456374540044883,0.3838627623998683,0.11890044914578866,0.4608016675699941,1.295541342999281,-0.15243303392922236
