rate_bucket,"(0.0, 0.5]","(0.5, 1.0]","(1.0, 1.5]","(1.5, 2.5]","(2.5, 5.0]"
"(-16.0, -10.5]",0.8763440860215054,0.8941798941798942,0.9385964912280702,0.9473684210526315,1.0
"(-10.5, -5.5]",0.8543689320388349,0.9197207678883071,0.9523809523809523,0.9733333333333334,1.0
"(-5.5, -0.5]",0.8508946322067594,0.9231664726426076,0.9389830508474576,0.9948453608247423,1.0
"(-0.5, 0.5]",0.8625,0.913312693498452,0.9532871972318339,0.9805825242718447,0.9954337899543378
"(0.5, 5.5]",0.8011417697431018,0.86751269035533,0.9336349924585219,0.9641350210970464,1.0
"(5.5, 10.5]",0.7422885572139304,0.8167985392574558,0.8693623639191291,0.9386792452830188,0.9956521739130435
"(10.5, 15.5]",0.6269727403156384,0.738673139158576,0.8232758620689655,0.9377049180327869,0.9817073170731707
"(15.5, 20.5]",0.5289672544080605,0.6474358974358975,0.7587548638132295,0.8598726114649682,0.9830508474576272
"(20.5, 25.0]",0.40860215053763443,0.5507246376811594,0.5919540229885057,0.8910891089108911,1.0
