risk_band,accounts,mean_mlr,median_mlr,loss_making_share,total_premium,total_paid_claims,mean_lives
0.15–0.49,1680,0.2714046187658196,0.25753191640636397,0.0,3206808880.48,844456940.06,300.62142857142857
0.50–0.99,3340,0.534448080388811,0.5137351475829668,0.008982035928143712,6882527794.64,3545700000.0,300.4877245508982
1.00–1.49,1080,0.9258208073815599,0.8913147127218499,0.3111111111111111,2423252470.28,2190150000.0,306.7101851851852
1.50–2.49,760,1.7352854068262629,1.6682702118394355,0.975,1775672128.83,2932500000.0,292.84605263157897
2.50–5.00,440,3.494869627535175,3.370739882518196,1.0,1132314503.67,3792193059.94,312.5386363636364
