rate_bucket,accounts,fy2025_premium,expected_retention,premium,claims,share,fy2025_mlr,mlr_2026,contribution
cut,0,0.0,,0.0,0.0,0.0,,,0.0
0%,1156,1761283510.34,0.8544829950948292,1494237629.1662273,379725212.9021131,0.15835616438356165,0.25435243614670544,0.2541263889291804,1114512416.2641144
+1-5%,1279,2308987789.87,0.8632071503477384,2033115052.397291,681173409.2540892,0.1752054794520548,0.34597141270503484,0.33503928292248025,1351941643.1432018
+6-10%,1807,3751330337.86,0.8404863352736063,3376423087.9124784,1570675653.7508025,0.24753424657534245,0.5049594419564268,0.46518922920939243,1805747434.161676
+11-15%,877,2223181036.1,0.8196291284790509,2065346758.1178498,1468607654.6538916,0.12013698630136986,0.7753159649714052,0.7110707433904384,596739103.4639583
+16-20%,430,887432461.86,0.7846496110926618,809661713.7553191,542763852.1456132,0.0589041095890411,0.7940891175459079,0.6703587966734922,266897861.60970592
+21-24%,540,1327703983.13,0.7227132280688239,1174891869.0224793,942076112.0211493,0.07397260273972603,0.9926950658932756,0.8018406943312708,232815757.00133002
+25%,1211,2740080880.84,0.8723752697899799,2986912856.809236,5769624804.393934,0.1658904109589041,2.342093785568345,1.931634795183588,-2782711947.584698
