risk_band,accounts,avg_rate,retention,premium,claims,at_cap,held_flat,fy2025_mlr,mlr_2026,contribution
0.15–0.49,1680,0.7297619047619047,0.8565827950721593,2693952714.4437547,719027549.3142015,0,1106,0.2699999999990088,0.26690429474099575,1974925165.1295533
0.50–0.99,3340,8.08443113772455,0.8371572044973562,6017180879.258134,2908561648.342691,0,50,0.53,0.4833761368831065,3108619230.915443
1.00–1.49,1080,20.128703703703703,0.7582175131557282,2114703811.270768,1609290672.8583689,70,0,0.93,0.7610005071543867,505413138.41239905
1.50–2.49,760,24.80921052631579,0.833114623706272,1789932469.4169848,2443863826.982232,709,0,1.7,1.3653385637382427,-653931357.5652473
2.50–5.00,440,24.818181818181817,0.9688695041255427,1324819092.7912393,3673903001.6240997,432,0,3.440000000002903,2.7731356089408514,-2349083908.8328605
