robustness_level,method,account_retention,premium_weighted_retention,expected_premium,expected_claims,case_mlr,expected_contribution,avg_rate_premium_weighted,accounts_at_cap,accounts_with_cut
0.0,MILP,0.8071325198726788,0.8099642685509195,13781256121.828863,11144867221.57233,0.8086974890423365,2636388900.2565327,13.573584318162,1825.0,0.0
0.5,LP (1 fractional),0.8211571534861379,0.8184175258047457,13852838521.516268,11221074539.897488,0.8100198758881715,2631763981.61878,12.980942640190001,1675.0,0.0
1.0,MILP,0.8375173842239219,0.829151964445783,13936244701.68567,11323920082.431435,0.8125517544236103,2612324619.254236,12.185400622336665,1504.0,0.0
1.5,LP (Infeasible),,,,,,,,,
2.0,LP (Infeasible),,,,,,,,,
