premium_size_segment,accounts,avg_rate,retention,premium,claims,at_cap,held_flat,fy2025_mlr,mlr_2026,contribution
Small,2033,8.320216428922775,0.8569151378731219,1304827481.569457,948119771.2084177,224,495,0.7819612600459246,0.7266246186568752,356707710.3610394
Mid,3871,11.50632911392405,0.8324383873065629,6414875761.271164,5178485606.535876,706,546,0.8794388830852218,0.8072620264604647,1236390154.7352877
Large,1396,13.098853868194842,0.8230883210765237,6220885724.34026,5228041321.377299,281,115,0.9169439042619357,0.8404014400910323,992844402.9629602
