fy2025_mlr_segment,accounts,avg_rate,retention,premium,claims,at_cap,held_flat,fy2025_mlr,mlr_2026,contribution
<70%,4695,5.288178913738019,0.8490441769609031,8358927712.830631,3352872691.624496,0,1155,0.4281811161898651,0.4011127750845322,5006055021.206135
70-85%,632,13.958860759493671,0.8001886687729616,1090892862.629612,724374439.0350977,0,1,0.7700275407175411,0.6640197803558668,366518423.59451425
85-110%,567,20.13403880070547,0.7458528646214722,1080991774.1135805,852364374.6729966,3,0,0.9607908367700524,0.7885021839060158,228627399.44058383
110-150%,397,24.130982367758186,0.7675343143829918,823167492.119521,865994199.0075027,220,0,1.3000824919223948,1.0520267227483802,-42826706.88798165
>150%,1009,24.87215064420218,0.8859439268941675,2586609125.487536,5559040994.7815,988,0,2.6092378984752824,2.1491615953893715,-2972431869.293964
