solution,sims,retention_mean,retention_p05,mlr_mean,mlr_p05,mlr_p95,contribution_mean,contribution_p05,prob_retention_ok,prob_mlr_ok,prob_all_limits_ok
v1 nb06 heuristic,3000,0.7973423287671233,0.7864383561643835,0.8086077131523461,0.8002198581512192,0.8165468902631581,2603064177.8279305,2480357745.240369,0.35633333333333334,0.9543333333333334,0.345
v1 nb07 refined heuristic,3000,0.7999250228310503,0.79,0.8260211906061964,0.8188860720521322,0.8332348439289895,2370553648.4076295,2254451614.589375,0.5,1.0,0.5
v2 nominal MILP,3000,0.805597488584475,0.794931506849315,0.8085365711377132,0.8003986419724576,0.8163367064656478,2632764970.674398,2513558394.3661118,0.805,0.956,0.7746666666666666
v2 robust MILP,3000,0.8360819634703196,0.8261643835616438,0.81236527537465,0.8044113904066965,0.8199697112005211,2609507870.1408033,2493641022.745195,1.0,0.9923333333333333,0.9923333333333333
FINAL v2 robust + refined,3000,0.8360363013698631,0.8262945205479453,0.8143693518265245,0.8064620878611151,0.8217623057271988,2582625471.3804145,2467431674.2971945,1.0,0.9976666666666667,0.9976666666666667
