premium_size_segment,accounts,avg_rate,retention,fy25_premium,fy25_claims,premium_2026,claims_2026,contribution,at_25,held_flat,exp_accounts_2026,fy2025_mlr,mlr_2026,account_share_now,account_share_2026,premium_share_now,premium_share_2026
Small,2033,8.320216428922775,0.8569151378731219,1406566694.27,1099880664.59,1304827481.569457,948119771.2084177,356707710.36103946,224,495,1742.108475296057,0.7819612600459246,0.7266246186568752,0.2784931506849315,0.28496049342266194,0.09377111295133334,0.09359916461501729
Mid,3871,11.50632911392405,0.8324383873065629,6913646870.07,6080129881.46,6414875761.271164,5178485606.535876,1236390154.7352881,706,546,3222.3689972637053,0.8794388830852218,0.8072620264604647,0.5302739726027397,0.5270899444387958,0.460909791338,0.4601581594847355
Large,1396,13.098853868194842,0.8230883210765237,6679786435.66,6124989453.95,6220885724.34026,5228041321.377299,992844402.9629602,281,115,1149.0312962228272,0.9169439042619357,0.8404014400910323,0.19123287671232878,0.18794956213854244,0.44531909571066663,0.4462426759002472
