solution,base_retention,base_mlr,max_claims_increase_before_85pct,retention_headroom_pts,max_logit_lapse_shock,max_price_sensitivity_multiple
v1 nb06 heuristic,0.7989291892974948,0.8087459088802006,0.051009953394287155,-0.10708107025052538,,
v1 nb07 refined heuristic,0.8013377717136728,0.8258232544368566,0.029275932148011385,0.13377717136727751,0.0,1.0
v2 nominal MILP,0.8071325198726788,0.8086974890423365,0.05107288141400579,0.7132519872678711,0.04,1.02
v2 robust MILP,0.8375173842239219,0.8125517544236103,0.046087212749855944,3.7517384223921812,0.26,1.24
FINAL v2 robust + refined,0.8374669546277519,0.814502653069598,0.04358162222875994,3.7466954627751847,0.26,1.24
