,accounts,fy2025_premium,fy2025_claims,retention,contribution,share,fy2025_mlr
cut,0,0.0,0.0,,0.0,0.0,
0%,1156,1761283510.34,447986751.6,0.8544829950948292,1114512416.2641144,0.15835616438356165,0.25435243614670544
+1..5,1279,2308987789.87,798843767.58,0.8632071503477384,1351941643.1432016,0.1752054794520548,0.34597141270503484
+6..10,1807,3751330337.86,1894269674.0,0.8404863352736063,1805747434.161676,0.24753424657534245,0.5049594419564268
+11..15,877,2223181036.1,1723667750.31,0.8196291284790509,596739103.4639581,0.12013698630136986,0.7753159649714052
+16..20,430,887432461.86,704700460.52,0.7846496110926618,266897861.60970592,0.0589041095890411,0.7940891175459079
+21..24,540,1327703983.13,1318005193.02,0.7227132280688239,232815757.00133005,0.07397260273972603,0.9926950658932756
+25,1211,2740080880.84,6417526402.97,0.8723752697899799,-2782711947.584698,0.1658904109589041,2.342093785568345
