industry,accounts,avg_rate,retention,fy25_premium,fy25_claims,premium_2026,claims_2026,contribution,at_25,held_flat,exp_accounts_2026,fy2025_mlr,mlr_2026,account_share_now,account_share_2026,premium_share_now,premium_share_2026
Financial services,892,10.978699551569507,0.8385694034348032,1722956683.58,1584049543.5,1599913080.2281716,1356265815.7503333,243647264.47783813,166,144,748.0039078638445,0.9193786231518163,0.8477121866876103,0.12219178082191781,0.12235263514847267,0.11486377890533332,0.11476653418264524
Healthcare,939,10.417465388711395,0.833326085380592,1996448501.51,1717165708.94,1834243609.1420822,1445453994.5679615,388789614.5741207,153,183,782.493194172376,0.8601101944984976,0.7880381795327794,0.12863013698630138,0.12799412314054756,0.13309656676733334,0.13157576150191952
Hospitality,872,11.887614678899082,0.8450089109700276,1774552565.24,1568117191.58,1672713962.4959233,1343882367.776493,328831594.7194302,155,79,736.8477703658641,0.8836690568069587,0.8034143301890256,0.11945205479452055,0.12052780133864043,0.11830350434933333,0.11998875846880276
Logistics,911,10.510428100987925,0.8318554608169934,1879563327.76,1599460685.57,1727761634.582678,1352876966.604648,374884667.97802997,139,169,757.820324804281,0.8509746183844644,0.7830229237214315,0.12479452054794521,0.12395832793664074,0.12530422185066667,0.12393749207082981
Manufacturing,919,10.532100108813928,0.8408858726300186,1843305102.75,1601242687.99,1718232057.7831805,1379137512.8253434,339094544.95783705,149,157,772.7741169469871,0.868680223149781,0.8026491570671028,0.1258904109589041,0.12640435242245887,0.12288700685,0.12325390712173388
Professional services,930,11.19784946236559,0.8431145359378552,1926445655.71,1791145094.73,1816709519.5287325,1552340146.6936305,264369372.83510205,159,124,784.0965184222053,0.9297667387714945,0.8544790072417954,0.1273972602739726,0.1282563823946794,0.12842971038066667,0.1303179889892496
Retail,937,10.595517609391676,0.8320920096256275,1941525228.39,1710837144.85,1783368997.789879,1443774238.9345722,339594758.855307,161,180,779.670213019213,0.8811820314427244,0.8095768406447768,0.12835616438356165,0.1275323619392587,0.129435015226,0.12792637398522472
Technology,900,11.338888888888889,0.835336359097576,1915202935.06,1732981942.84,1787646105.630234,1480915655.968611,306730449.6616228,129,120,751.8027231878184,0.904855517457584,0.8284165704299257,0.1232876712328767,0.12297401567930168,0.12768019567066666,0.12823318367959446
