solution,account_retention,premium_weighted_retention,expected_premium,expected_claims,case_mlr,expected_contribution,avg_rate_premium_weighted,accounts_at_cap,accounts_with_cut,risk_mix_drift,top50_above_15
v1 nb06 heuristic,0.7989291892974948,0.7974070270963048,13632354261.225584,11025110737.17176,0.8087459088802006,2607243524.0538235,14.204366589592665,2041,508,0.031530622420788745,19
v1 nb07 refined heuristic,0.8013377717136728,0.8044812982213666,13651581484.426918,11273793449.67937,0.8258232544368566,2377788034.747547,13.325893335532,56,360,0.04378527560983736,0
v2 nominal MILP,0.8071325198726788,0.8099642685509195,13781256121.828863,11144867221.57233,0.8086974890423365,2636388900.2565327,13.573584318162,1825,0,0.030809488464888624,19
v2 robust MILP,0.8375173842239219,0.829151964445783,13936244701.68567,11323920082.431435,0.8125517544236103,2612324619.254236,12.185400622336665,1504,0,0.021548946683627834,19
FINAL v2 robust + refined,0.8374669546277519,0.8303815292838925,13940588967.18088,11354646699.121593,0.814502653069598,2585942268.059286,12.039848497703332,1211,0,0.02213104890239026,0
