risk_band,accounts,avg_rate,retention,fy25_premium,fy25_claims,premium_2026,claims_2026,contribution,at_25,held_flat,exp_accounts_2026,fy2025_mlr,mlr_2026,account_share_now,account_share_2026,premium_share_now,premium_share_2026
0.15–0.49,1680,0.7297619047619047,0.8565827950721593,3127618296.53,844456940.06,2693952714.4437547,719027549.3142015,1974925165.129553,0,1106,1439.0590957212275,0.2699999999990088,0.26690429474099575,0.23013698630136986,0.23539004361447805,0.20850788643533336,0.19324525820149308
0.50–0.99,3340,8.08443113772455,0.8371572044973562,6690000000.0,3545700000.0,6017180879.258134,2908561648.342691,3108619230.9154434,0,50,2796.10506302117,0.53,0.4833761368831065,0.4575342465753425,0.45736502044438404,0.446,0.43163032016967584
1.00–1.49,1080,20.128703703703703,0.7582175131557282,2355000000.0,2190150000.0,2114703811.270768,1609290672.8583689,505413138.41239905,70,0,818.8749142081864,0.93,0.7610005071543867,0.14794520547945206,0.13394516065628426,0.157,0.15169400778182557
1.50–2.49,760,24.80921052631579,0.833114623706272,1725000000.0,2932500000.0,1789932469.4169848,2443863826.982232,-653931357.5652474,709,0,633.1671140167667,1.7,1.3653385637382427,0.10410958904109589,0.10356852962244989,0.115,0.12839719136909264
2.50–5.00,440,24.818181818181817,0.9688695041255427,1102381703.47,3792193059.94,1324819092.7912393,3673903001.6240997,-2349083908.83286,432,0,426.3025818152388,3.440000000002903,2.7731356089408514,0.06027397260273973,0.06973124566240385,0.07349211356466667,0.09503322247791295
